current_name,abbrev,team_colours,second_colour,backup_team_colours,backup_second_colour
Adelaide Strikers,STR,#0185d8,#004e92,blue,darkblue
Brisbane Heat,HEA,#00a3ad,#3E444D,teal,white
Hobart Hurricanes,HUR,#5f259f,#a0a4a4,purple,silver
Melbourne Renegades,REN,#e3002a,black,red,black
Melbourne Stars,STA,#009245,#c8c8c8,green,silver
Perth Scorchers,SCO,#ce661e,#312821,orange,black
Sydney Sixers,SIX,#ea008a,#b7b9bb,magenta,silver
Sydney Thunder,THU,#97d700,#c2c1c7,chartreuse,silver
